sigmoid_colon	stomach
ENSG00000127804	0.82	2.44
ENSG00000127824	1.65	0.42
ENSG00000127831	0.02	0.29
ENSG00000127837	2.48	1.86
ENSG00000127838	2.06	1.37
ENSG00000127863	0.09	0.06
ENSG00000127870	0.76	0.63
ENSG00000127884	2.45	1.28
ENSG00000127903	0.22	0.02
ENSG00000127914	1.68	2.65
ENSG00000127920	0.75	0.73
ENSG00000127922	0.87	0.12
ENSG00000127928	0.00	0.00
ENSG00000127946	0.26	0.14
ENSG00000127947	3.05	0.93
ENSG00000127948	0.93	6.84
ENSG00000127951	2.68	0.67
ENSG00000127952	0.86	0.67
ENSG00000127954	0.37	0.07
ENSG00000127955	1.49	2.23
ENSG00000127980	0.70	0.83
ENSG00000127989	0.24	0.05
ENSG00000127990	3.61	1.02
ENSG00000127993	0.38	0.19
ENSG00000127995	1.16	0.74
ENSG00000128000	0.62	0.25
ENSG00000128011	0.03	0.00
ENSG00000128016	2.20	4.51
ENSG00000128039	0.15	0.04
ENSG00000128040	0.13	0.00
ENSG00000128045	0.01	0.11
ENSG00000128050	0.42	0.20
ENSG00000128052	0.38	0.17
ENSG00000128059	0.16	0.03
ENSG00000128159	0.74	2.06
ENSG00000128165	0.00	0.00
ENSG00000128185	2.11	1.37
ENSG00000128191	0.44	1.25
ENSG00000128203	0.04	0.01
ENSG00000128218	0.00	0.00
ENSG00000128228	0.60	0.09
ENSG00000128242	0.06	0.03
ENSG00000128245	2.98	0.47
ENSG00000128250	0.00	0.00
ENSG00000128253	0.00	0.00
ENSG00000128266	0.64	0.40
ENSG00000128268	0.04	0.02
ENSG00000128271	0.02	0.16
ENSG00000128272	13.62	8.97
ENSG00000128274	0.67	1.38
ENSG00000128276	0.00	0.00
ENSG00000128283	0.41	3.21
ENSG00000128284	0.98	0.68
ENSG00000128285	0.00	0.00
ENSG00000128294	0.69	0.31
ENSG00000128298	0.02	0.56
ENSG00000128309	4.04	2.03
ENSG00000128310	0.00	0.00
ENSG00000128311	0.88	1.16
ENSG00000128313	0.00	0.00
ENSG00000128322	0.00	0.00
ENSG00000128335	0.75	1.05
ENSG00000128340	0.18	1.14
ENSG00000128342	0.01	0.00
ENSG00000128346	0.01	0.00
ENSG00000128383	0.01	0.04
ENSG00000128394	0.16	0.02
ENSG00000128408	0.00	0.01
ENSG00000128422	0.00	0.02
ENSG00000128463	5.40	3.26
ENSG00000128482	0.21	0.01
ENSG00000128487	0.43	1.10
ENSG00000128510	0.00	0.00
ENSG00000128512	0.60	0.33
ENSG00000128513	0.74	0.43
ENSG00000128519	0.00	0.00
ENSG00000128524	3.68	1.94
ENSG00000128534	0.75	0.67
ENSG00000128536	0.46	1.41
ENSG00000128563	0.74	1.86
ENSG00000128564	0.00	0.13
ENSG00000128567	0.66	5.40
ENSG00000128573	3.00	0.39
ENSG00000128578	0.02	0.00
ENSG00000128581	0.88	0.29
ENSG00000128585	1.92	0.83
ENSG00000128590	1.23	4.91
ENSG00000128591	5.41	2.36
ENSG00000128594	0.04	0.01
ENSG00000128595	5.92	2.11
ENSG00000128596	0.66	0.14
ENSG00000128602	0.20	0.10
ENSG00000128604	0.44	0.31
ENSG00000128606	0.04	0.00
ENSG00000128607	0.64	0.66
ENSG00000128609	3.15	2.99
ENSG00000128610	0.00	0.00
ENSG00000128617	0.00	0.00
ENSG00000128626	0.86	0.36
ENSG00000128641	0.27	1.39
ENSG00000128645	0.02	0.00
ENSG00000128652	0.13	0.00
ENSG00000128654	1.16	0.34
ENSG00000128655	0.47	0.00
ENSG00000128656	0.38	1.15
ENSG00000128683	0.01	0.00
ENSG00000128694	0.29	0.09
ENSG00000128699	1.87	1.70
ENSG00000128708	1.00	1.35
ENSG00000128709	0.41	0.00
ENSG00000128710	0.54	0.00
ENSG00000128713	0.72	0.00
ENSG00000128714	1.37	0.00
ENSG00000128731	1.42	2.88
ENSG00000128739	3.19	3.61
ENSG00000128789	2.72	0.45
ENSG00000128791	2.33	0.71
ENSG00000128805	0.10	0.64
ENSG00000128815	0.10	0.18
ENSG00000128829	0.83	1.03
ENSG00000128833	0.10	3.32
ENSG00000128849	0.08	0.81
ENSG00000128872	0.91	0.05
ENSG00000128881	0.47	0.35
ENSG00000128886	0.18	0.66
ENSG00000128891	0.60	0.88
ENSG00000128908	0.50	0.63
ENSG00000128915	0.84	0.39
ENSG00000128917	0.14	0.02
ENSG00000128918	0.36	0.01
ENSG00000128923	0.69	0.15
ENSG00000128928	1.68	1.75
ENSG00000128944	0.20	0.09
ENSG00000128951	3.00	4.65
ENSG00000128965	0.06	0.04
ENSG00000128973	0.18	0.17
ENSG00000128989	4.99	1.95
ENSG00000129003	2.71	2.54
ENSG00000129007	0.13	0.18
ENSG00000129009	2.73	1.00
ENSG00000129028	0.08	0.10
ENSG00000129038	0.33	0.14
ENSG00000129048	0.10	0.04
ENSG00000129055	2.20	0.67
ENSG00000129071	0.49	0.13
ENSG00000129083	2.89	1.55
ENSG00000129084	3.60	1.24
ENSG00000129103	3.01	7.63
ENSG00000129116	55.94	22.09
ENSG00000129128	3.35	1.08
ENSG00000129151	0.00	0.00
ENSG00000129152	0.00	0.00
ENSG00000129158	1.33	3.56
ENSG00000129159	0.01	0.00
ENSG00000129167	0.01	0.35
ENSG00000129170	0.00	0.00
ENSG00000129173	0.00	0.02
ENSG00000129187	1.08	2.04
ENSG00000129194	0.43	0.00
ENSG00000129195	0.01	0.02
ENSG00000129197	1.06	1.37
ENSG00000129204	0.07	0.01
ENSG00000129214	0.00	0.00
ENSG00000129219	0.26	2.43
ENSG00000129221	0.00	0.00
ENSG00000129226	1.59	0.43
ENSG00000129235	4.29	3.79
ENSG00000129244	0.04	0.01
ENSG00000129245	0.96	0.66
ENSG00000129250	2.15	1.80
ENSG00000129255	1.86	1.56
ENSG00000129292	1.59	1.31
ENSG00000129295	0.25	0.02
ENSG00000129315	0.59	1.00
ENSG00000129317	0.49	0.08
ENSG00000129347	0.38	0.42
ENSG00000129351	2.35	3.18
ENSG00000129353	0.79	1.39
ENSG00000129354	0.03	0.75
ENSG00000129355	0.33	0.00
ENSG00000129422	0.96	2.95
ENSG00000129437	0.00	0.00
ENSG00000129450	0.15	0.06
ENSG00000129451	0.07	0.00
ENSG00000129455	0.00	0.00
ENSG00000129460	1.18	0.28
ENSG00000129465	0.11	0.75
ENSG00000129467	0.34	0.73
ENSG00000129472	0.75	0.83
ENSG00000129473	3.31	0.66
ENSG00000129474	0.14	0.07
ENSG00000129480	0.80	0.72
ENSG00000129484	0.40	0.68
ENSG00000129493	1.01	0.87
ENSG00000129514	0.00	1.59
ENSG00000129515	3.43	0.79
ENSG00000129518	1.27	0.65
ENSG00000129521	0.52	0.57
ENSG00000129534	0.61	1.00
ENSG00000129535	0.02	0.01
ENSG00000129538	13.97	3.33
ENSG00000129559	5.40	3.63
ENSG00000129562	5.41	1.16
ENSG00000129566	0.42	0.47
ENSG00000129595	0.27	0.54
ENSG00000129596	0.60	0.03
ENSG00000129625	2.42	1.66
ENSG00000129636	1.35	0.94
ENSG00000129646	0.07	0.11
ENSG00000129654	0.00	0.10
ENSG00000129657	0.56	1.08
ENSG00000129667	0.40	2.94
ENSG00000129673	0.00	0.00
ENSG00000129675	0.64	0.19
ENSG00000129680	0.33	0.05
ENSG00000129682	0.39	0.24
ENSG00000129691	1.01	0.80
ENSG00000129696	0.29	0.43
ENSG00000129744	0.03	0.00
ENSG00000129749	0.02	0.00
ENSG00000129757	1.22	0.32
ENSG00000129810	0.00	0.01
ENSG00000129824	10.31	5.75
ENSG00000129862	0.00	0.00
ENSG00000129864	0.00	0.00
ENSG00000129873	0.00	0.01
ENSG00000129910	0.00	0.00
ENSG00000129911	0.12	0.21
ENSG00000129925	0.58	2.89
ENSG00000129932	0.74	0.02
ENSG00000129933	0.87	0.61
ENSG00000129946	0.50	0.78
ENSG00000129951	0.00	0.00
ENSG00000129965	0.00	0.00
ENSG00000129968	2.55	0.74
ENSG00000129988	0.00	0.00
ENSG00000129990	0.08	0.00
ENSG00000129991	0.00	0.00
ENSG00000129993	0.75	1.29
ENSG00000130005	0.24	0.11
ENSG00000130021	0.23	0.04
ENSG00000130023	0.51	0.31
ENSG00000130024	2.15	1.11
ENSG00000130032	0.02	0.00
ENSG00000130035	0.05	0.00
ENSG00000130037	0.25	0.07
ENSG00000130038	0.03	0.04
ENSG00000130045	0.00	0.00
ENSG00000130052	0.30	0.04
ENSG00000130054	0.00	0.00
ENSG00000130055	0.00	0.00
ENSG00000130066	9.43	29.29
ENSG00000130119	0.47	0.27
ENSG00000130147	0.32	0.87
ENSG00000130150	0.63	0.42
ENSG00000130158	0.48	2.23
ENSG00000130159	2.63	1.21
ENSG00000130164	0.20	14.07
ENSG00000130165	1.11	0.48
ENSG00000130167	0.00	0.00
ENSG00000130173	0.00	0.00
ENSG00000130175	2.21	1.31
ENSG00000130176	66.94	26.58
ENSG00000130177	1.25	1.60
ENSG00000130182	0.00	0.00
ENSG00000130193	0.41	0.22
ENSG00000130201	0.00	0.01
ENSG00000130202	0.49	2.27
ENSG00000130203	5.29	0.30
ENSG00000130204	0.99	0.16
ENSG00000130208	0.33	0.12
ENSG00000130222	0.42	2.31
ENSG00000130224	1.13	0.15
ENSG00000130226	1.26	0.50
ENSG00000130227	0.98	0.91
ENSG00000130234	0.06	0.01
ENSG00000130244	0.51	0.09
ENSG00000130254	0.65	2.83
ENSG00000130255	28.44	11.82
ENSG00000130270	0.00	0.00
ENSG00000130283	0.00	0.00
ENSG00000130287	0.00	0.00
ENSG00000130294	0.25	0.49
ENSG00000130299	0.37	1.54
ENSG00000130300	0.55	0.57
ENSG00000130303	2.28	2.45
ENSG00000130304	0.38	2.61
ENSG00000130305	0.65	0.15
ENSG00000130307	0.16	0.10
ENSG00000130309	1.39	0.83
ENSG00000130311	0.17	0.05
ENSG00000130312	4.97	1.08
ENSG00000130313	1.31	0.54
ENSG00000130332	3.46	0.22
ENSG00000130338	3.84	2.61
ENSG00000130340	1.95	0.86
ENSG00000130347	0.20	0.99
ENSG00000130348	0.29	0.16
ENSG00000130349	0.63	0.45
ENSG00000130363	0.30	0.59
ENSG00000130368	0.00	0.00
ENSG00000130377	0.00	0.00
ENSG00000130382	0.35	0.08
ENSG00000130383	0.00	0.00
ENSG00000130385	0.00	0.00
ENSG00000130396	2.46	2.15
ENSG00000130402	3.68	7.60
ENSG00000130413	0.52	0.40
ENSG00000130414	1.90	5.83
ENSG00000130427	0.00	0.00
ENSG00000130429	4.82	2.86
ENSG00000130433	0.00	0.00
ENSG00000130449	0.38	0.88
ENSG00000130475	0.05	0.00
ENSG00000130477	0.02	0.05
ENSG00000130479	0.39	0.68
ENSG00000130487	0.00	0.00
ENSG00000130489	0.57	2.95
ENSG00000130508	1.09	1.34
ENSG00000130511	1.47	0.89
ENSG00000130513	0.15	1.06
ENSG00000130517	0.42	0.18
ENSG00000130518	0.04	0.80
ENSG00000130520	4.05	0.54
ENSG00000130522	4.80	37.26
ENSG00000130528	0.03	0.00
ENSG00000130529	0.37	3.54
ENSG00000130538	0.00	0.00
ENSG00000130540	0.08	0.00
ENSG00000130544	0.24	0.19
ENSG00000130545	0.01	0.17
ENSG00000130558	0.49	0.00
ENSG00000130559	0.59	5.35
ENSG00000130560	1.61	1.57
ENSG00000130561	0.00	0.00
ENSG00000130584	0.15	0.07
ENSG00000130589	0.38	2.14
ENSG00000130590	0.03	0.29
ENSG00000130592	0.27	0.59
ENSG00000130595	0.11	0.00
ENSG00000130598	0.01	0.00
ENSG00000130635	1.02	1.09
ENSG00000130638	4.24	1.33
ENSG00000130640	0.93	0.41
ENSG00000130643	0.19	0.00
ENSG00000130649	0.07	0.43
ENSG00000130653	0.12	0.84
ENSG00000130656	0.00	0.00
ENSG00000130669	0.21	1.81
ENSG00000130675	0.00	0.07
ENSG00000130684	0.45	0.37
ENSG00000130695	0.14	0.27
ENSG00000130699	0.36	0.76
ENSG00000130700	0.01	0.07
ENSG00000130701	0.00	0.01
ENSG00000130702	3.08	6.25
ENSG00000130703	0.76	0.69
ENSG00000130706	3.05	2.62
ENSG00000130707	2.17	0.22
ENSG00000130711	0.00	0.00
ENSG00000130713	0.35	0.20
ENSG00000130714	0.79	0.38
ENSG00000130717	1.58	0.86
ENSG00000130720	0.01	0.00
ENSG00000130723	1.83	3.03
ENSG00000130724	3.88	1.25
ENSG00000130725	0.96	0.22
ENSG00000130726	4.41	2.15
ENSG00000130731	4.58	4.92
ENSG00000130733	0.82	1.63
ENSG00000130734	0.41	0.67
ENSG00000130741	3.78	1.65
ENSG00000130748	0.94	0.00
ENSG00000130749	0.54	0.87
ENSG00000130751	0.04	0.00
ENSG00000130755	0.23	0.00
ENSG00000130758	0.19	0.50
ENSG00000130762	0.03	1.12
ENSG00000130764	0.91	4.77
ENSG00000130766	0.17	0.13
ENSG00000130768	0.02	0.02
ENSG00000130770	6.83	12.31
ENSG00000130772	0.37	0.44
ENSG00000130775	0.66	0.20
ENSG00000130779	4.22	2.10
ENSG00000130783	0.05	0.00
ENSG00000130787	0.13	8.88
ENSG00000130803	0.32	0.43
ENSG00000130810	0.69	0.80
ENSG00000130811	8.93	7.17
ENSG00000130812	0.00	0.00
ENSG00000130813	0.71	1.27
ENSG00000130816	1.29	2.09
ENSG00000130818	0.32	0.10
ENSG00000130821	1.03	0.61
ENSG00000130822	1.40	0.18
ENSG00000130826	0.51	2.06
ENSG00000130827	0.17	0.40
ENSG00000130829	0.00	0.00
ENSG00000130830	1.04	0.18
ENSG00000130844	0.46	0.37
ENSG00000130856	0.62	0.47
ENSG00000130876	0.03	0.00
ENSG00000130881	0.48	0.53
ENSG00000130921	0.26	0.07
ENSG00000130935	0.97	1.21
ENSG00000130939	1.34	0.83
ENSG00000130940	1.07	1.49
ENSG00000130943	0.01	0.00
ENSG00000130948	0.01	0.00
ENSG00000130950	0.00	0.00
ENSG00000130956	0.66	1.01
ENSG00000130957	0.00	0.35
ENSG00000130958	0.44	0.37
ENSG00000130962	0.14	0.11
ENSG00000130985	2.11	2.07
ENSG00000130988	0.17	0.03
ENSG00000130997	0.05	0.00
ENSG00000131013	0.99	0.90
ENSG00000131015	0.00	0.00
ENSG00000131016	3.76	0.99
ENSG00000131018	3.53	3.13
ENSG00000131019	0.01	0.00
ENSG00000131023	0.71	2.45
ENSG00000131037	0.01	2.55
ENSG00000131042	0.10	0.05
ENSG00000131043	1.11	0.50
ENSG00000131044	0.00	0.00
ENSG00000131050	0.00	0.00
ENSG00000131051	8.64	8.03
ENSG00000131055	0.03	0.00
ENSG00000131059	0.00	0.00
ENSG00000131061	0.07	0.14
ENSG00000131067	0.28	0.43
ENSG00000131068	0.00	0.00
ENSG00000131069	0.99	5.16
ENSG00000131080	0.04	0.00
ENSG00000131089	0.71	0.25
ENSG00000131094	0.12	0.05
ENSG00000131095	0.00	0.00
ENSG00000131096	0.09	0.00
ENSG00000131097	0.07	0.00
ENSG00000131100	4.51	6.39
ENSG00000131115	0.41	0.15
ENSG00000131116	1.11	0.25
ENSG00000131126	0.00	0.00
ENSG00000131127	0.69	0.51
ENSG00000131142	0.00	0.00
ENSG00000131143	19.72	8.76
ENSG00000131148	0.65	0.87
ENSG00000131149	0.99	4.93
ENSG00000131152	0.03	0.00
ENSG00000131153	0.01	0.04
ENSG00000131165	1.85	0.46
ENSG00000131171	12.74	8.50
ENSG00000131174	2.35	1.46
ENSG00000131183	0.00	0.00
ENSG00000131187	0.01	1.54
ENSG00000131188	0.07	0.00
ENSG00000131196	0.32	0.12
ENSG00000131203	0.06	0.00
ENSG00000131233	0.00	0.00
ENSG00000131236	6.54	4.10
ENSG00000131238	2.53	1.42
ENSG00000131242	0.05	0.26
ENSG00000131263	0.68	0.37
ENSG00000131264	0.00	0.00
ENSG00000131269	1.14	0.13
ENSG00000131323	0.45	0.09
ENSG00000131351	0.27	0.01
ENSG00000131355	0.00	0.00
ENSG00000131368	0.87	0.33
ENSG00000131370	0.89	0.99
ENSG00000131373	0.57	0.81
ENSG00000131374	1.41	1.22
ENSG00000131375	1.49	10.86
ENSG00000131378	0.39	2.31
ENSG00000131379	0.00	0.00
ENSG00000131381	0.99	2.86
ENSG00000131386	2.60	2.98
ENSG00000131389	0.18	0.53
ENSG00000131398	0.01	0.01
ENSG00000131400	0.00	1.96
ENSG00000131408	3.13	2.61
ENSG00000131409	0.07	0.01
ENSG00000131435	1.78	0.38
ENSG00000131437	0.29	0.19
ENSG00000131446	2.65	3.40
ENSG00000131459	0.45	1.22
ENSG00000131462	0.98	0.78
ENSG00000131467	1.56	1.51
ENSG00000131469	77.52	26.79
ENSG00000131470	0.18	0.02
ENSG00000131471	2.24	1.52
ENSG00000131473	1.15	2.71
ENSG00000131475	1.13	0.29
ENSG00000131477	0.47	0.00
ENSG00000131480	0.06	0.00
ENSG00000131482	0.00	0.00
ENSG00000131495	2.31	3.83
ENSG00000131503	2.97	5.59
ENSG00000131504	0.48	1.43
ENSG00000131507	2.49	0.61
ENSG00000131508	2.11	2.08
ENSG00000131558	1.43	5.05
ENSG00000131584	0.66	1.93
ENSG00000131591	0.23	1.51
ENSG00000131620	0.95	0.45
ENSG00000131626	1.54	1.46
ENSG00000131634	1.30	0.06
ENSG00000131650	0.00	0.00
ENSG00000131652	0.24	0.50
ENSG00000131653	0.85	1.32
ENSG00000131668	0.00	4.81
ENSG00000131669	3.26	2.70
ENSG00000131686	0.00	0.00
ENSG00000131697	0.16	0.49
ENSG00000131711	9.66	22.14
ENSG00000131721	0.00	0.00
ENSG00000131724	1.54	1.57
ENSG00000131725	0.63	0.54
ENSG00000131730	0.13	1.93
ENSG00000131732	1.27	0.46
ENSG00000131737	0.00	0.00
ENSG00000131738	0.00	0.00
ENSG00000131746	0.00	0.02
ENSG00000131747	0.06	0.18
ENSG00000131748	1.00	1.13
ENSG00000131759	0.47	0.42
ENSG00000131771	0.35	0.03
ENSG00000131773	0.53	0.06
ENSG00000131778	0.61	0.29
ENSG00000131779	0.63	0.35
ENSG00000131781	0.20	4.51
ENSG00000131788	0.50	0.66
ENSG00000131791	1.14	0.48
ENSG00000131808	0.00	0.00
ENSG00000131828	2.01	6.54
ENSG00000131831	0.55	0.05
ENSG00000131844	0.53	1.09
ENSG00000131845	0.28	0.36
ENSG00000131848	0.12	0.02
ENSG00000131849	0.17	0.20
ENSG00000131864	0.00	0.00
ENSG00000131871	1.74	2.01
ENSG00000131873	0.32	1.45
ENSG00000131876	0.88	0.72
ENSG00000131899	0.48	0.13
ENSG00000131910	0.00	0.70
ENSG00000131914	0.00	0.00
ENSG00000131931	0.49	0.46
ENSG00000131941	0.09	0.79
ENSG00000131943	0.95	0.74
ENSG00000131944	0.04	0.00
ENSG00000131951	0.00	0.00
ENSG00000131966	2.01	1.15
ENSG00000131969	0.00	0.00
ENSG00000131979	0.09	0.11
ENSG00000131981	6.63	6.18
ENSG00000132000	0.00	0.00
ENSG00000132002	1.64	0.74
ENSG00000132003	0.09	0.05
ENSG00000132004	0.10	0.06
ENSG00000132005	0.06	0.04
ENSG00000132010	0.07	0.03
ENSG00000132016	0.04	0.32
ENSG00000132017	0.41	0.16
ENSG00000132024	0.42	1.31
ENSG00000132026	0.05	0.00
ENSG00000132031	0.02	0.00
ENSG00000132109	0.60	0.31
ENSG00000132122	0.58	0.39
ENSG00000132128	1.78	1.46
ENSG00000132141	0.10	0.01
ENSG00000132153	1.57	1.05
ENSG00000132155	2.36	2.72
ENSG00000132164	0.00	0.00
ENSG00000132170	0.50	0.69
ENSG00000132182	0.04	0.38
ENSG00000132185	0.00	0.00
ENSG00000132196	0.41	1.30
ENSG00000132199	1.10	2.40
ENSG00000132205	0.33	0.14
ENSG00000132207	0.35	0.12
ENSG00000132254	0.95	1.52
ENSG00000132256	0.45	0.48
ENSG00000132259	0.00	0.00
ENSG00000132274	1.18	0.78
ENSG00000132275	0.58	0.04
ENSG00000132286	1.23	0.29
ENSG00000132294	3.09	1.12
ENSG00000132297	0.00	0.00
ENSG00000132300	1.27	3.02
ENSG00000132305	1.36	0.90
ENSG00000132313	0.88	0.39
ENSG00000132321	0.00	0.08
ENSG00000132323	1.31	1.33
ENSG00000132326	0.27	4.22
ENSG00000132329	11.81	2.55
ENSG00000132330	0.29	0.27
ENSG00000132334	0.31	0.48
ENSG00000132341	5.01	2.21
ENSG00000132356	2.54	3.17
ENSG00000132357	0.24	0.69
ENSG00000132359	0.34	2.08
ENSG00000132361	0.90	3.54
ENSG00000132376	1.67	2.19
ENSG00000132382	0.66	1.65
ENSG00000132383	0.79	0.23
ENSG00000132386	9.60	4.56
ENSG00000132388	3.13	0.85
ENSG00000132394	0.46	0.43
ENSG00000132405	1.31	0.75
ENSG00000132406	0.65	0.45
ENSG00000132423	0.20	0.10
ENSG00000132424	4.01	4.37
ENSG00000132429	0.02	0.11
ENSG00000132432	10.09	1.19
ENSG00000132434	0.20	0.53
ENSG00000132436	0.24	0.72
ENSG00000132437	0.01	0.00
ENSG00000132446	0.00	0.00
ENSG00000132463	1.75	1.58
ENSG00000132464	0.00	0.01
ENSG00000132465	0.04	0.56
ENSG00000132466	1.20	2.88
ENSG00000132467	0.44	0.36
ENSG00000132470	0.80	2.97
ENSG00000132471	1.25	2.74
ENSG00000132475	10.10	20.92
ENSG00000132478	0.53	2.30
ENSG00000132481	0.95	0.28
ENSG00000132485	2.62	1.53
ENSG00000132507	2.93	3.08
ENSG00000132510	0.22	0.29
ENSG00000132514	0.43	0.00
ENSG00000132517	0.00	0.00
ENSG00000132518	0.00	0.00
ENSG00000132522	2.44	1.53
ENSG00000132530	0.84	0.80
ENSG00000132535	0.48	0.51
ENSG00000132541	0.60	1.56
ENSG00000132549	1.16	0.87
ENSG00000132554	0.04	0.00
ENSG00000132561	1.51	0.55
ENSG00000132563	0.44	0.10
ENSG00000132570	0.22	0.11
ENSG00000132581	1.19	0.98
ENSG00000132589	1.09	0.95
ENSG00000132591	0.74	0.84
ENSG00000132600	0.98	2.00
ENSG00000132603	0.22	0.02
ENSG00000132604	0.71	0.26
ENSG00000132612	0.90	0.76
ENSG00000132613	2.07	0.39
ENSG00000132622	0.17	0.07
ENSG00000132623	0.01	0.03
ENSG00000132631	0.00	0.00
ENSG00000132635	0.66	0.23
ENSG00000132639	0.54	0.22
ENSG00000132640	0.75	2.63
ENSG00000132646	1.25	0.48
ENSG00000132661	0.66	0.22
ENSG00000132664	0.31	0.12
ENSG00000132669	1.26	0.79
ENSG00000132670	1.88	3.52
ENSG00000132671	0.00	0.00
ENSG00000132676	4.43	2.25
ENSG00000132677	0.00	0.00
ENSG00000132680	0.94	2.83
ENSG00000132681	0.00	0.00
ENSG00000132688	0.28	0.20
ENSG00000132692	0.08	0.89
ENSG00000132693	0.00	0.00
ENSG00000132694	0.82	2.87
ENSG00000132698	0.00	1.02
ENSG00000132702	0.02	0.00
ENSG00000132703	0.00	0.00
ENSG00000132704	0.00	0.00
ENSG00000132716	3.90	4.22
ENSG00000132718	0.62	0.03
ENSG00000132740	0.81	3.00
ENSG00000132744	0.00	0.01
ENSG00000132746	0.00	0.02
ENSG00000132749	0.00	0.11
ENSG00000132763	0.07	0.08
ENSG00000132768	0.34	0.60
ENSG00000132773	0.21	0.07
ENSG00000132780	2.26	1.16
ENSG00000132781	0.44	0.26
ENSG00000132792	1.16	0.34
ENSG00000132793	0.20	1.00
ENSG00000132801	0.08	0.05
ENSG00000132819	2.38	0.73
ENSG00000132821	0.06	0.41
ENSG00000132823	1.84	1.08
ENSG00000132824	3.15	1.37
ENSG00000132825	0.26	0.15
ENSG00000132837	0.06	0.04
ENSG00000132840	0.34	0.01
ENSG00000132842	1.23	0.34
ENSG00000132846	0.42	2.97
ENSG00000132849	0.96	2.80
ENSG00000132854	0.05	0.00
ENSG00000132855	0.00	0.00
ENSG00000132872	0.17	0.26
ENSG00000132874	0.00	0.00
ENSG00000132879	0.56	0.34
ENSG00000132881	0.20	0.01
ENSG00000132906	0.51	2.80
ENSG00000132911	0.00	0.00
ENSG00000132912	1.58	1.08
ENSG00000132915	0.00	0.00
ENSG00000132932	0.04	0.02
ENSG00000132938	0.02	0.23
ENSG00000132950	0.51	1.51
ENSG00000132952	0.98	0.76
ENSG00000132953	0.75	0.35
ENSG00000132958	0.00	0.00
ENSG00000132963	2.50	0.56
ENSG00000132964	1.28	0.21
ENSG00000132965	0.55	0.03
ENSG00000132970	0.48	0.21
ENSG00000132972	0.04	0.00
ENSG00000132975	0.00	0.00
ENSG00000133019	1.24	5.00
ENSG00000133020	0.00	0.00
ENSG00000133026	0.65	2.33
ENSG00000133027	0.55	1.00
ENSG00000133028	0.64	0.21
ENSG00000133030	2.19	5.97
ENSG00000133048	0.00	0.00
ENSG00000133055	0.00	0.00
ENSG00000133056	0.48	0.37
ENSG00000133059	0.37	0.13
ENSG00000133063	0.00	0.00
ENSG00000133065	0.32	0.43
ENSG00000133067	0.00	0.00
ENSG00000133069	0.12	0.01
ENSG00000133083	1.11	0.22
ENSG00000133101	0.04	0.00
ENSG00000133103	0.64	0.23
ENSG00000133104	2.82	0.54
ENSG00000133105	0.00	0.00
ENSG00000133106	0.11	0.00
ENSG00000133107	0.33	0.25
ENSG00000133110	0.94	0.58
ENSG00000133111	0.21	0.03
ENSG00000133112	159.00	64.58
ENSG00000133114	0.88	0.67
ENSG00000133115	0.00	0.00
ENSG00000133116	0.18	0.01
ENSG00000133119	0.21	0.18
ENSG00000133121	1.88	3.56
ENSG00000133124	0.00	0.00
ENSG00000133131	0.26	0.03
ENSG00000133134	0.34	0.00
ENSG00000133135	0.01	0.10
ENSG00000133138	0.15	2.62
ENSG00000133142	4.47	5.55
ENSG00000133169	0.39	0.01
ENSG00000133193	0.42	2.05
ENSG00000133195	0.46	0.40
ENSG00000133216	0.07	0.00
ENSG00000133226	2.61	3.18
ENSG00000133243	1.24	0.40
ENSG00000133246	0.01	0.00
ENSG00000133247	0.21	0.62
ENSG00000133250	0.53	0.04
ENSG00000133256	0.15	0.00
ENSG00000133265	0.67	0.12
ENSG00000133275	0.75	2.80
ENSG00000133302	0.18	0.51
ENSG00000133313	0.82	2.81
ENSG00000133315	0.66	0.73
ENSG00000133316	0.64	0.62
ENSG00000133317	0.16	0.00
ENSG00000133318	2.95	0.65
ENSG00000133321	1.25	0.09
ENSG00000133328	0.02	0.00
ENSG00000133392	185.47	67.81
ENSG00000133393	1.24	0.30
ENSG00000133398	1.06	1.38
ENSG00000133401	0.24	0.20
ENSG00000133422	0.59	0.24
ENSG00000133424	1.36	1.95
ENSG00000133433	0.02	0.00
ENSG00000133454	0.00	0.17
ENSG00000133460	0.49	0.23
ENSG00000133466	0.04	0.01
ENSG00000133475	0.00	0.00
ENSG00000133477	0.02	0.05
ENSG00000133488	0.00	0.10
ENSG00000133561	0.62	0.02
ENSG00000133574	0.60	0.02
ENSG00000133597	0.62	0.06
ENSG00000133606	1.97	0.81
ENSG00000133612	0.96	1.88
ENSG00000133619	0.19	0.19
ENSG00000133627	0.20	0.23
ENSG00000133636	0.01	0.00
ENSG00000133639	1.24	0.46
ENSG00000133640	0.00	0.05
ENSG00000133641	0.61	0.38
ENSG00000133657	2.25	0.94
ENSG00000133661	0.00	0.29
ENSG00000133665	0.00	0.00
ENSG00000133678	0.32	0.35
ENSG00000133687	1.93	1.73
ENSG00000133703	0.67	0.43
ENSG00000133704	0.92	4.13
ENSG00000133706	2.17	1.69
ENSG00000133710	0.04	0.01
ENSG00000133731	0.81	0.19
ENSG00000133739	0.61	0.22
ENSG00000133740	0.07	0.00
ENSG00000133742	0.11	0.00
ENSG00000133773	2.30	0.66
ENSG00000133789	0.76	0.82
ENSG00000133794	0.59	2.96
ENSG00000133800	4.29	0.24
ENSG00000133805	0.13	0.21
